sample_score	sample_rank	glyco_score	glyco_rank	sample	w_glyco	sample_diseases	glyco_diseases
67	1	66	1	HP:0005595|HP:0002808|HP:0000280|HP:0001263|HP:0000821|HP:0001508|HP:0008430|HP:0100578|HP:0000248|HP:0002240	HP:0000280|HP:0001263|HP:0001508|HP:0005595|HP:0008430|HP:0100578|HP:0002808|HP:0000821|HP:0010471|HP:0003541		
68	1	67	1	HP:0002808|HP:0000280|HP:0000943|HP:0001263|HP:0000975|HP:0001508|HP:0100578|HP:0000365|HP:0000248|HP:0002240	HP:0000943|HP:0001263|HP:0100578|HP:0000248|HP:0000975|HP:0001508|HP:0002808|HP:0000365|HP:0010471|HP:0003541		
68	2	65	1	HP:0005595|HP:0011220|HP:0002808|HP:0000821|HP:0011276|HP:0001508|HP:0008430|HP:0000365|HP:0000248|HP:0000280	HP:0001508|HP:0000365|HP:0000821|HP:0005595|HP:0011220|HP:0000280|HP:0011276|HP:0000248|HP:0010471|HP:0003541	MONDO:0008291|MONDO:0033010	MONDO:0008291|MONDO:0033010
68	1	67	1	HP:0005595|HP:0000943|HP:0000821|HP:0000975|HP:0011276|HP:0001508|HP:0008430|HP:0000365|HP:0000248|HP:0002240	HP:0001508|HP:0000975|HP:0008430|HP:0000821|HP:0000365|HP:0000248|HP:0011276|HP:0005595|HP:0010471|HP:0003541	MONDO:0008291	
68	1	66	3	HP:0005595|HP:0002808|HP:0000943|HP:0000821|HP:0002240|HP:0000975|HP:0011276|HP:0001508|HP:0008430|HP:0000280	HP:0011276|HP:0001508|HP:0005595|HP:0000943|HP:0000280|HP:0002240|HP:0000975|HP:0000821|HP:0010471|HP:0003541		MONDO:0018853|MONDO:0008291|MONDO:0033010
68	1	66	1	HP:0002808|HP:0010864|HP:0001263|HP:0000821|HP:0000975|HP:0011276|HP:0001508|HP:0000365|HP:0011220|HP:0000280	HP:0011276|HP:0001508|HP:0000280|HP:0011220|HP:0000975|HP:0001263|HP:0010864|HP:0000821|HP:0010471|HP:0003541		
67	1	67	1	HP:0011220|HP:0010864|HP:0001263|HP:0000821|HP:0000975|HP:0001508|HP:0008430|HP:0100578|HP:0000365|HP:0000248	HP:0000975|HP:0100578|HP:0001263|HP:0000365|HP:0008430|HP:0010864|HP:0000821|HP:0000248|HP:0010471|HP:0003541		
68	1	66	2	HP:0005595|HP:0002808|HP:0000943|HP:0011276|HP:0001508|HP:0008430|HP:0000248|HP:0000365|HP:0011220|HP:0002240	HP:0011276|HP:0002240|HP:0011220|HP:0002808|HP:0005595|HP:0000943|HP:0000248|HP:0001508|HP:0010471|HP:0003541	MONDO:0008291	MONDO:0008291|MONDO:0033010
68	1	66	1	HP:0002808|HP:0010864|HP:0000943|HP:0000821|HP:0000975|HP:0008430|HP:0000248|HP:0000365|HP:0011220|HP:0002240	HP:0002240|HP:0010864|HP:0011220|HP:0000248|HP:0000365|HP:0008430|HP:0000943|HP:0000821|HP:0010471|HP:0003541		
69	1	67	1	HP:0002808|HP:0000943|HP:0011276|HP:0000975|HP:0001508|HP:0008430|HP:0100578|HP:0000365|HP:0000248|HP:0002240	HP:0000943|HP:0011276|HP:0000975|HP:0000248|HP:0100578|HP:0002808|HP:0000365|HP:0002240|HP:0010471|HP:0003541		
